track_id,artists,album_name,track_name,popularity,duration_ms,explicit,key,loudness,mode,tempo,time_signature,track_genre
67hiQr5yocRHh4fheSEzsC,Seiko Matsuda,My Prelude,いくつの夜明けを数えたら,27,303626,False,3,-7.236,1,134.649,4,j-idol
7aUuoq4oMfLxaLa5GVUDHi,KALEO,Way down We Go,Way down We Go,64,219560,False,10,-5.798,0,81.663,4,alt-rock
0OvAGGXJ5q4ZeKkJYKwSVn,Kotiteollisuus,Maailmanloppu,Maailmanloppu,21,219453,False,1,-2.823,1,154.939,4,heavy-metal
3V62hqp8AIqkSfr8Ys2lzP,Serrini,樹木真美,樹木真美,53,246840,False,1,-4.205,1,139.996,4,cantopop
5iFUhoT6qHOn98510MXEqv,Pitizion,Perreo Tenebroso Vol. 1,Ella,0,173653,False,0,-3.82,1,91.837,4,reggaeton
4w2W5Gh1GjbbSWGF0TD2iC,Kailash Kher;Mounima,Baahubali - The Beginning,Kaun Hain Voh,59,197984,False,4,-8.229,0,147.014,3,folk
4VKVl3wR3qFpZtzWlScvx4,TANK 呂建忠,Fighting !,Three Kingdom Love,40,246173,False,4,-2.078,0,151.924,4,mandopop
7zMJ0Pgmv9Jcx1skiTp3RV,Criolo,Ainda Há Tempo,No Sapatinho,35,303120,False,4,-6.112,0,84.063,4,afrobeat
13gzqa9L58ZszOIqON5ZZR,KhoMha,Earthshine,Earthshine,51,148613,False,9,-8.751,0,128.014,4,trance
7vFDew7CG8VgJztv3dmgTd,John Doan,Celtic Twilight,Farewell,21,235733,False,4,-21.359,1,96.823,4,new-age
3iypHvZowqXC9DYrsz8h14,"""Weird Al"" Yankovic",Poodle Hat,Genius In France,26,536786,False,0,-11.478,1,135.939,4,comedy
5zl3YXkWTij4lo3kw1BAlE,Makano,La Esencia,Cuéntame,39,179316,False,7,-2.282,1,166.006,4,latino
7HaM0LcqJC89BZHgQGIjBE,Confess,In Pursuit of Dreams,The Alphabet of Power,1,324911,True,7,-1.924,1,151.782,4,iranian
4lYZNv5EEuG2Jv0zKle5v3,Mel Tormé,Christmas Classics,"The Christmas Song - Live At The Crescendo Club, Hollywood, CA / December 15, 1954",0,185266,False,1,-19.916,1,100.098,1,jazz
6YCCHnSCcJYWenamiJfLWh,Chris Tomlin;Lauren Daigle,Adore: Christmas Songs Of Worship (Live),Noel - Live,43,257653,False,10,-10.553,0,137.92,4,world-music
0pPGUL7171TRGgI6wyP8wP,Abhijeet;Shreya Ghoshal,Main Hoon Na,Tumhe Jo Maine Dekha,60,341146,False,0,-3.972,0,102.009,4,pop-film
680gfmxE9oPj43uum5USyc,Sleep Baby Sleep;White Noise Babies;White Noise For Baby Sleep;Spa Relaxation;Spa Relaxation & Spa,Soothing Brown Noise Waves and Calming Ambient Combinations (Loopable and without Fade),Soothing Brown Noise Waves,49,93451,False,1,-18.75,1,0.0,0,sleep
15SJMsBLp7GR8FH9WvamuG,Boreal Embla,Mellow,Mellow,64,213978,False,4,-36.803,1,71.876,5,sleep
44XsO9hwxTLx9rhArOcu33,The Chemical Brothers,Brotherhood,Electronic Battle Weapon 8,14,390960,False,10,-6.004,0,133.966,4,breakbeat
5YtIkHosMnyhM3ZwcAnvtd,Chuck Berry,Best Christmas Playlist Ever 2022,Run Rudolph Run,0,162897,False,10,-5.662,1,151.925,4,blues
07mEPA8M9EIsehueGzoHRG,Håkan Hellström,Håkan Boma Ye! (Live),Bara dårar rusar in (Live),27,260906,False,4,-10.513,1,92.084,3,goth
6Jc0XoRR7DWTg3bPhEsnzO,Joey Smith,PRESENTS K18,Poppin Bottles - Original Mix,38,215040,False,1,-7.738,0,125.01,4,minimal-techno
